ZONE N=35, E=64, F=FEPOINT, ET=TETRAHEDRON
0.25 0.25 0.25 -0.14254 0.0019361 -0.233926 24.0288 
2 6 7 20
2 16 17 20
2 7 17 20
2 3 7 17
3 7 17 21
3 7 8 21
3 17 18 21
3 8 18 21
3 4 8 18
4 8 18 22
4 8 9 22
4 18 19 22
4 9 19 22
7 17 20 21
4 5 9 19
8 18 21 22
6 7 10 20
7 10 20 23
7 10 11 23
7 20 21 23
7 11 21 23
7 8 11 21
8 11 21 24
8 11 12 24
8 21 22 24
8 12 22 24
8 9 12 22
11 21 23 24
10 11 13 23
11 13 23 25
11 13 14 25
11 23 24 25
11 14 24 25
11 12 14 24
13 14 15 25
16 17 20 26
17 20 26 29
17 20 21 29
17 26 27 29
17 21 27 29
17 18 21 27
18 21 27 30
18 21 22 30
18 27 28 30
18 22 28 30
18 19 22 28
21 27 29 30
20 21 23 29
21 23 29 31
21 23 24 31
21 29 30 31
21 24 30 31
21 22 24 30
23 24 25 31
26 27 29 32
27 29 32 34
27 29 30 34
27 32 33 34
27 30 33 34
27 28 30 33
29 30 31 34
32 33 34 35
ZONE N=35, E=64, F=FEPOINT, ET=TETRAHEDRON
0.25 0.25 0.25 -0.14254 0.0019361 -0.233926 24.0288 
0.25 0.1875 0.25 -0.150171 0.0195056 -0.259327 24.5865 
0.25 0.125 0.25 -0.128958 0.0250395 -0.228806 25.1442 
0.25 0.0625 0.25 -0.0789006 0.0185376 -0.142363 25.702 
0.25 0 0.25 0 0 0 26.2597 
0.3125 0.1875 0.1875 0.0798376 -0.0153198 -0.0969122 24.4469 
0.3125 0.125 0.1875 0.0243813 0.00182254 -0.120529 25.0047 
0.3125 0.0625 0.1875 -0.00223122 0.00692913 -0.0882254 25.5624 
0.3125 0 0.1875 0 0 0 26.1201 
0.375 0.125 0.125 0.17772 -0.0213944 -0.0122532 24.8651 
0.375 0.0625 0.125 0.0744382 -0.00467934 -0.0340873 25.4229 
0.375 0 0.125 0 0 0 25.9806 
0.4375 0.0625 0.0625 0.151108 -0.0162878 0.0200509 25.2833 
0.4375 0 0.0625 0 0 0 25.841 
0.5 0 0 0 0 0 25.7015 
0.3125 0.1875 0.3125 -0.143901 0.0233952 -0.180326 25.0308 
0.3125 0.125 0.3125 -0.124778 0.0276325 -0.176139 25.5886 
0.3125 0.0625 0.3125 -0.0768108 0.0198341 -0.11603 26.1463 
0.3125 0 0.3125 0 0 0 26.704 
0.375 0.125 0.25 0.028561 0.00441555 -0.0678624 25.449 
0.375 0.0625 0.25 -0.000141355 0.00822563 -0.0618919 26.0067 
0.375 0 0.25 0 0 0 26.5645 
0.4375 0.0625 0.1875 0.0765281 -0.00338284 -0.00775374 25.8672 
0.4375 0 0.1875 0 0 0 26.4249 
0.5 0 0.125 0 0 0 26.2854 
0.375 0.125 0.375 -0.120598 0.0302255 -0.123472 26.0329 
0.375 0.0625 0.375 -0.0747209 0.0211306 -0.0896965 26.5906 
0.375 0 0.375 0 0 0 27.1484 
0.4375 0.0625 0.3125 0.00194851 0.00952213 -0.0355583 26.4511 
0.4375 0 0.3125 0 0 0 27.0088 
0.5 0 0.25 0 0 0 26.8693 
0.4375 0.0625 0.4375 -0.0726311 0.0224271 -0.063363 27.035 
0.4375 0 0.4375 0 0 0 27.5927 
0.5 0 0.375 0 0 0 27.4532 
0.5 0 0.5 0 0 0 28.037 

1 2 6 16
2 6 16 20
2 6 7 20
2 16 17 20
2 7 17 20
2 3 7 17
3 7 17 21
3 7 8 21
3 17 18 21
3 8 18 21
3 4 8 18
4 8 18 22
4 8 9 22
4 18 19 22
4 9 19 22
7 17 20 21
4 5 9 19
8 18 21 22
6 7 10 20
7 10 20 23
7 10 11 23
7 20 21 23
7 11 21 23
7 8 11 21
8 11 21 24
8 11 12 24
8 21 22 24
8 12 22 24
8 9 12 22
11 21 23 24
10 11 13 23
11 13 23 25
11 13 14 25
11 23 24 25
11 14 24 25
11 12 14 24
13 14 15 25
16 17 20 26
17 20 26 29
17 20 21 29
17 26 27 29
17 21 27 29
17 18 21 27
18 21 27 30
18 21 22 30
18 27 28 30
18 22 28 30
18 19 22 28
21 27 29 30
20 21 23 29
21 23 29 31
21 23 24 31
21 29 30 31
21 24 30 31
21 22 24 30
23 24 25 31
26 27 29 32
27 29 32 34
27 29 30 34
27 32 33 34
27 30 33 34
27 28 30 33
29 30 31 34
32 33 34 35
ZONE N=35, E=64, F=FEPOINT, ET=TETRAHEDRON
0.25 0.25 0.25 -0.14254 0.0019361 -0.233926 24.0288 
0.25 0.1875 0.25 -0.150171 0.0195056 -0.259327 24.5865 
0.25 0.125 0.25 -0.128958 0.0250395 -0.228806 25.1442 
0.25 0.0625 0.25 -0.0789006 0.0185376 -0.142363 25.702 
0.25 0 0.25 0 0 0 26.2597 
0.3125 0.1875 0.3125 -0.143901 0.0233952 -0.180326 25.0308 
0.3125 0.125 0.3125 -0.124778 0.0276325 -0.176139 25.5886 
0.3125 0.0625 0.3125 -0.0768108 0.0198341 -0.11603 26.1463 
0.3125 0 0.3125 0 0 0 26.704 
0.375 0.125 0.375 -0.120598 0.0302255 -0.123472 26.0329 
0.375 0.0625 0.375 -0.0747209 0.0211306 -0.0896965 26.5906 
0.375 0 0.375 0 0 0 27.1484 
0.4375 0.0625 0.4375 -0.0726311 0.0224271 -0.063363 27.035 
0.4375 0 0.4375 0 0 0 27.5927 
0.5 0 0.5 0 0 0 28.037 
0.1875 0.1875 0.3125 -0.0991511 -0.00646363 -0.214478 24.8268 
0.1875 0.125 0.3125 -0.0949445 0.00772663 -0.198906 25.3845 
0.1875 0.0625 0.3125 -0.0618941 0.00988117 -0.127414 25.9423 
0.1875 0 0.3125 0 0 0 26.5 
0.25 0.125 0.375 -0.0907648 0.0103196 -0.146239 25.8289 
0.25 0.0625 0.375 -0.0598043 0.0111777 -0.10108 26.3866 
0.25 0 0.375 0 0 0 26.9444 
0.3125 0.0625 0.4375 -0.0577144 0.0124742 -0.0747469 26.831 
0.3125 0 0.4375 0 0 0 27.3887 
0.375 0 0.5 0 0 0 27.833 
0.125 0.125 0.375 -0.0609315 -0.00958622 -0.169007 25.6249 
0.125 0.0625 0.375 -0.0448876 0.00122475 -0.112464 26.1826 
0.125 0 0.375 0 0 0 26.7403 
